,Title,Rating,Year,Certification,Genre,Vote,Time
0,Superman & Lois,7.8,2021,Not Rated,"Action, Adventure, Drama",36777,42
1,House of the Dragon,8.5,2022,A,"Action, Adventure, Drama",332779,60
2,My Adventures with Superman,7.9,2023,Not Rated,"Animation, Action, Adventure",1058,60
3,One Piece: Wan pîsu,8.9,1999,7,"Animation, Action, Adventure",149914,24
4,Kandahar,6.0,2023,R,"Action, Thriller",12465,119
5,Mission: Impossible - Fallout,7.7,2018,U/A,"Action, Adventure, Thriller",349393,147
6,The Car,6.1,1977,A,"Action, Horror, Mystery",11159,96
7,Vikings,8.5,2013,A,"Action, Adventure, Drama",555234,44
8,Kimetsu no Yaiba,8.7,2019,16,"Animation, Action, Adventure",125775,24
9,Nobody,7.4,2021,A,"Action, Crime, Drama",292606,92
10,Everything Everywhere All at Once,7.8,2022,A,"Action, Adventure, Comedy",461316,139
11,S.W.A.T.,7.2,2017,16,"Action, Adventure, Crime",28330,43
12,Jujutsu Kaisen,8.5,2020,16,"Animation, Action, Adventure",75154,24
13,Sisu,6.9,2022,A,"Action, War",42711,91
14,American Gladiators,6.5,1989,Not Rated,"Action, Game-Show, Sport",2972,60
15,The Batman,7.8,2022,UA,"Action, Crime, Drama",709487,176
16,The Dark Knight,9.0,2008,UA,"Action, Crime, Drama",2736993,152
17,The Machine,5.9,2023,R,"Action, Comedy",7383,112
18,Ant-Man and the Wasp: Quantumania,6.1,2023,UA,"Action, Adventure, Comedy",188081,124
19,Teenage Mutant Ninja Turtles: Mutant Mayhem,6.466183677818027,2023,Not Rated,"Animation, Action, Adventure",75875,60
20,Mission: Impossible - Rogue Nation,7.4,2015,UA,"Action, Adventure, Thriller",388084,131
21,Citadel,6.1,2023,UA 16+,"Action, Drama, Thriller",26526,60
22,Smallville,7.5,2001,UA 16+,"Action, Adventure, Drama",133215,60
23,Inception,8.8,2010,UA,"Action, Adventure, Sci-Fi",2428813,148
24,Bullet Train,7.3,2022,A,"Action, Comedy, Thriller",369776,127
25,Priyotoma,5.7,2023,Not Rated,"Action, Drama, Romance",18045,155
26,9-1-1,7.9,2018,12+,"Action, Drama, Thriller",40210,43
27,The Patriot,7.2,2000,A,"Action, Drama, History",284243,165
28,Mission: Impossible III,6.9,2006,UA,"Action, Adventure, Thriller",370640,126
29,Mission: Impossible II,6.1,2000,UA,"Action, Adventure, Thriller",357179,123
30,The Last Kingdom,8.5,2015,18+,"Action, Drama, History",155652,60
31,Miraculous: Tales of Ladybug & Cat Noir,7.6,2015,7,"Animation, Action, Adventure",13403,20
32,Mission: Impossible - Ghost Protocol,7.4,2011,UA,"Action, Adventure, Thriller",505697,132
33,Vinland Saga,8.8,2019,18,"Animation, Action, Adventure",54421,24
34,Top Gun,6.9,1986,U,"Action, Drama",477815,109
35,Shazam! Fury of the Gods,6.0,2023,UA,"Action, Adventure, Comedy",96672,130
36,Star Trek: The Next Generation,8.7,1987,U,"Action, Adventure, Sci-Fi",128710,44
37,Prison Break,8.3,2005,UA,"Action, Crime, Drama",555469,44
38,Blade Runner 2049,8.0,2017,UA,"Action, Drama, Mystery",610234,164
39,Ghosted,5.8,2023,U/A 16+,"Action, Adventure, Comedy",46635,116
40,Spider-Man: No Way Home,8.2,2021,UA,"Action, Adventure, Fantasy",811250,148
41,The Hunger Games,7.2,2012,UA,"Action, Adventure, Sci-Fi",952855,142
42,Hypnotic,5.5,2023,R,"Action, Mystery, Thriller",15160,93
43,The Meg,5.6,2018,UA,"Action, Horror, Sci-Fi",182681,113
44,Jurassic Park,8.2,1993,UA,"Action, Adventure, Sci-Fi",1021462,127
45,Buffy the Vampire Slayer,8.3,1997,A,"Action, Drama, Fantasy",153177,44
46,Superman: Legacy,6.466183677818027,2025,Not Rated,"Action, Adventure, Fantasy",75875,60
47,Chicago Fire,8.0,2012,16,"Action, Drama",60618,43
48,Independence Day: Resurgence,5.2,2016,UA,"Action, Adventure, Sci-Fi",184451,120
49,The Wrath of Becky,6.0,2023,R,"Action, Horror, Thriller",4610,84
50,Banshee,8.4,2013,18,"Action, Crime, Drama",111515,60
51,Aliens,8.4,1986,U,"Action, Adventure, Sci-Fi",736219,137
52,Star Trek: Picard,7.5,2020,18,"Action, Adventure, Drama",89518,46
53,Avatar,7.9,2009,UA,"Action, Adventure, Fantasy",1352190,162
54,65,5.4,2023,UA,"Action, Adventure, Drama",55873,93
55,Operation Fortune: Ruse de Guerre,6.3,2023,A,"Action, Comedy, Thriller",63126,114
56,John Wick,7.4,2014,A,"Action, Crime, Thriller",703870,101
57,The Lord of the Rings: The Rings of Power,7.0,2022,UA 16+,"Action, Adventure, Drama",334056,60
58,Deadpool 3,6.466183677818027,2024,Not Rated,"Action, Comedy, Sci-Fi",75875,60
59,Andor,8.4,2022,UA 13+,"Action, Adventure, Drama",142278,40
60,One Piece,6.466183677818027,2023,Not Rated,"Action, Adventure, Comedy",75875,60
61,Heat,8.3,1995,A,"Action, Crime, Drama",682014,170
62,Star Trek: Discovery,7.1,2017,15+,"Action, Adventure, Drama",128273,60
63,White House Down,6.3,2013,UA,"Action, Drama, Thriller",229792,131
64,The Lord of the Rings: The Fellowship of the Ring,8.8,2001,U,"Action, Adventure, Drama",1925424,178
65,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,2003,UA,"Action, Adventure, Fantasy",1160386,143
66,Outer Banks,7.5,2020,18,"Action, Crime, Drama",70042,50
67,The Witcher: Blood Origin,4.8,2022,A,"Action, Adventure, Drama",41260,50
68,Cobra Kai,8.5,2018,A,"Action, Comedy, Drama",195042,30
69,Transformers,7.0,2007,UA,"Action, Adventure, Sci-Fi",657615,144
70,Immortals,6.0,2011,A,"Action, Drama, Fantasy",172672,110
71,Avengers: Endgame,8.4,2019,UA,"Action, Adventure, Drama",1192329,181
72,Misanthrope,6.6,2023,A,"Action, Crime, Drama",16188,119
73,Guardians of the Galaxy,8.0,2014,UA,"Action, Adventure, Comedy",1228087,121
74,Gladiator,8.5,2000,UA,"Action, Adventure, Drama",1544424,155
75,Arrow,7.5,2012,A,"Action, Adventure, Crime",439123,42
76,Terminator 2: Judgment Day,8.6,1991,A,"Action, Sci-Fi",1129786,137
77,La casa de papel,8.2,2017,16+,"Action, Crime, Drama",500272,70
78,The Woman King,6.9,2022,UA,"Action, Drama, History",64477,135
79,Star Trek: Deep Space Nine,8.1,1993,13,"Action, Adventure, Drama",67075,45
80,Person of Interest,8.5,2011,16,"Action, Crime, Drama",182330,43
81,"Love, Death & Robots",8.4,2019,18,"Animation, Short, Action",181834,15
82,Meg 2: The Trench,6.466183677818027,2023,PG-13,"Action, Adventure, Horror",75875,116
83,Star Trek,8.4,1966,7,"Action, Adventure, Sci-Fi",88301,50
84,Spartacus: Blood and Sand,8.5,2010,16+,"Action, Adventure, Biography",248728,55
85,Chicago P.D.,8.1,2014,Not Rated,"Action, Crime, Drama",41355,43
86,Tenet,7.3,2020,UA,"Action, Sci-Fi, Thriller",536297,150
87,9-1-1: Lone Star,7.2,2020,12+,"Action, Drama, Thriller",18686,43
88,Dune,6.3,1984,U,"Action, Adventure, Sci-Fi",166698,137
89,Kraven the Hunter,6.466183677818027,2023,Not Rated,"Action, Adventure, Sci-Fi",75875,60
90,Agents of S.H.I.E.L.D.,7.5,2013,16+,"Action, Adventure, Drama",221467,45
91,Star Trek: Voyager,7.8,1995,13,"Action, Adventure, Sci-Fi",73470,44
92,Hawaii Five-0,7.4,2010,16,"Action, Crime, Drama",76157,42
93,Black Adam,6.3,2022,UA,"Action, Adventure, Fantasy",251800,125
94,Jigokuraku,8.3,2023,UA 16+,"Animation, Action, Adventure",5595,24
95,Retribution,6.466183677818027,2023,Not Rated,"Action, Crime, Drama",75875,60
96,The Gentlemen,7.8,2019,A,"Action, Comedy, Crime",364175,113
97,The Unbearable Weight of Massive Talent,7.0,2022,A,"Action, Comedy, Crime",128328,107
98,The Huntsman: Winter's War,6.1,2016,UA,"Action, Adventure, Drama",114971,114
99,The Terminator,8.1,1984,A,"Action, Sci-Fi",890874,107
100,No Time to Die,7.3,2021,UA,"Action, Adventure, Thriller",422700,163
101,Avatar: The Last Airbender,9.3,2005,U,"Animation, Action, Adventure",336075,23
102,SEAL Team,7.8,2017,16,"Action, Drama, War",29660,43
103,Dunkirk,7.8,2017,UA,"Action, Drama, History",687660,106
104,Shadow and Bone,7.6,2021,16,"Action, Adventure, Drama",106725,60
105,Long ma jing shen,6.3,2023,Not Rated,"Action, Comedy, Drama",2427,126
106,The Terminal List,7.9,2022,A,"Action, Drama, Thriller",99271,55
107,See,7.6,2019,16+,"Action, Drama, Sci-Fi",90964,60
108,24,8.4,2001,U,"Action, Crime, Drama",192087,44
109,The Umbrella Academy,7.9,2019,16+,"Action, Adventure, Comedy",259832,60
110,The Suicide Squad,7.2,2021,A,"Action, Adventure, Comedy",377964,132
111,Oldeuboi,8.4,2003,A,"Action, Drama, Mystery",600519,101
112,Bloodhounds,8.1,2023,Not Rated,"Action, Crime, Drama",5787,60
113,The Young Indiana Jones Chronicles,7.2,1992,Not Rated,"Action, Adventure, Family",8279,45
114,Arcane: League of Legends,9.0,2021,16,"Animation, Action, Adventure",234069,41
115,The Matrix,8.7,1999,A,"Action, Sci-Fi",1968997,136
116,The Nice Guys,7.3,2016,18,"Action, Comedy, Crime",345892,116
117,Deadpool 2,7.6,2018,R,"Action, Adventure, Comedy",610196,119
118,Invincible,8.7,2021,18,"Animation, Action, Adventure",156640,50
119,Mulan,5.8,2020,12+,"Action, Adventure, Drama",153752,115
120,American Sniper,7.3,2014,A,"Action, Biography, Drama",506633,133
121,Zack Snyder's Justice League,7.9,2021,18,"Action, Adventure, Fantasy",417480,242
122,Blade Runner,8.1,1982,UA,"Action, Drama, Sci-Fi",792297,117
123,Star Wars,8.6,1977,U,"Action, Adventure, Fantasy",1400613,121
124,Thor: Love and Thunder,6.2,2022,UA,"Action, Adventure, Comedy",369344,118
125,Captain America: Brave New World,6.466183677818027,2024,Not Rated,"Action, Adventure, Sci-Fi",75875,60
126,Spider-Man,7.4,2002,U,"Action, Adventure, Sci-Fi",844716,121
127,Avatar: The Last Airbender,6.466183677818027,2024,Not Rated,"Action, Adventure, Comedy",75875,60
128,Deadpool,8.0,2016,R,"Action, Comedy",1074905,108
129,Man of Steel,7.1,2013,UA,"Action, Adventure, Sci-Fi",790615,143
130,Hidden Strike,5.8,2023,Not Rated,"Action, Adventure, Comedy",232,102
131,Drive-Away Dolls,6.466183677818027,2023,Not Rated,"Action, Comedy, Thriller",75875,60
132,Stargate SG-1,8.4,1997,U,"Action, Adventure, Drama",97515,44
133,Expend4bles,6.466183677818027,2023,Not Rated,"Action, Adventure, Thriller",75875,60
134,Ojing-eo geim,8.0,2021,18,"Action, Drama, Mystery",485429,55
135,Léon,8.5,1994,A,"Action, Crime, Drama",1196039,110
136,Sweet Tooth,7.8,2021,16,"Action, Adventure, Drama",62697,50
137,The Mother,5.6,2023,R,"Action, Thriller",38131,115
138,The Wheel of Time,7.1,2021,A,"Action, Adventure, Drama",110792,60
139,The Hunger Games: The Ballad of Songbirds and Snakes,6.466183677818027,2023,Not Rated,"Action, Adventure, Drama",75875,60
140,Jurassic World: Dominion,5.6,2022,UA,"Action, Adventure, Sci-Fi",186815,147
141,The Dark Knight Rises,8.4,2012,UA,"Action, Drama, Thriller",1751908,164
142,The Gray Man,6.5,2022,UA 16+,"Action, Thriller",220197,122
143,Pirates of the Caribbean: Dead Men Tell No Tales,6.5,2017,UA,"Action, Adventure, Fantasy",327226,129
144,Titanic II,1.6,2010,Not Rated,"Action, Adventure, Drama",12333,90
145,The Punisher,8.5,2017,A,"Action, Crime, Drama",249924,53
146,FBI,7.0,2018,16,"Action, Crime, Drama",20551,60
147,Loki,8.2,2021,12+,"Action, Adventure, Fantasy",345550,53
148,Plane,6.5,2023,UA,"Action, Adventure, Thriller",58191,107
149,Star Wars: Episode IX - The Rise of Skywalker,6.5,2019,UA,"Action, Adventure, Fantasy",470720,141
150,The Mummy,7.1,1999,A,"Action, Adventure, Fantasy",445797,124
151,Daredevil,8.6,2015,UA 16+,"Action, Crime, Drama",456075,54
152,Gotham Knights,5.0,2023,Not Rated,"Action, Crime, Drama",5674,60
153,IB 71,7.7,2023,UA,"Action, Thriller",5914,117
154,Black Clover,8.3,2017,13,"Animation, Action, Adventure",28874,24
